"","ppid_trialn","heading","StartFrame","StartYawRateChange","FirstSteeringTime","pNum","ResponseStartWorldYaw","EarlyResponses","PeakFrame","PeakYawRateChange","PeakSteeringTime","PeakWorldYaw","PeakWorld_x","PeakWorld_z"
"163","10_2_79",1,31,0.0605361271561771,0.500100000000032,10,346.2397,FALSE,36,0.179160855617716,0.586299999999994,346.2806,-32.45705,2936.045
"164","10_2_8",1.5,30,0.0656759663170163,0.483400000000003,10,9.387504,FALSE,38,0.137470845920746,0.616750000000003,9.29938,31.32649,310.9013
"165","10_2_80",1,31,0.0668997448717948,0.5,10,346.6481,FALSE,41,0.25617714988345,0.666600000000017,346.4726,-40.99376,2972.909
"166","10_2_81",1,30,0.0509906702797203,0.483299999999986,10,345.8375,FALSE,36,0.141305343822844,0.583399999999983,345.8853,-50.1424,3008.414
"167","10_2_82",0.5,31,0.0682051389277389,0.500100000000032,10,345.8516,FALSE,101,0.156888091375291,1.66660000000002,345.3022,-61.24251,3053.049
"168","10_2_83",2,30,0.0782400678321678,0.483400000000017,10,344.7633,FALSE,39,0.233741252447552,0.633399999999995,344.6174,-68.77305,3081.122
"169","10_2_84",2,27,0.0618415026806527,0.433400000000006,10,343.9692,FALSE,33,0.171328652680653,0.533399999999972,344.0234,-79.34991,3116.083
"170","10_2_85",1.5,25,0.0581701418414919,0.399999999999977,10,345.2233,FALSE,41,0.180792553379953,0.666600000000017,345.0047,-88.92522,3153.265
"171","10_2_86",0.5,35,0.0697552407925408,0.566800000000001,10,342.6059,FALSE,40,0.173041968671329,0.649999999999977,342.6502,-99.64738,3188.884
"172","10_2_87",0.5,30,0.0577622358508158,0.483299999999986,10,342.5698,FALSE,36,0.166596724475525,0.583199999999977,342.6315,-110.4007,3224.075
"173","10_2_88",1.5,27,0.0686946117715617,0.433300000000031,10,342.6701,FALSE,32,0.217995355617716,0.516600000000039,342.7173,-121.1307,3259.276
"174","10_2_89",2,23,0.064289063053613,0.366700000000037,10,344.0721,FALSE,28,0.201270361351981,0.45010000000002,344.117,-131.2191,3294.661
"175","10_3_0",2,41,0.0566200326340326,0.667490000000001,10,1.541767,FALSE,49,0.24810023972028,0.80091,1.472357,0.2482884,16.00446
