"","ppid_trialn","pNum","heading","FirstSteeringTime","response","response_num"
"503","13_2_73","13","1.5","2.5","nosteer","1"
"504","13_2_79","13","1.5","2.5","nosteer","1"
"505","13_2_8","13","0","2.5","nosteer","1"
"506","13_2_80","13","0.5","2.5","nosteer","1"
"507","13_2_81","13","0.5","2.5","nosteer","1"
"508","13_2_84","13","1","2.5","nosteer","1"
"509","13_2_86","13","1","2.5","nosteer","1"
"510","13_2_89","13","1","2.5","nosteer","1"
"511","13_3_13","13","1.5","2.5","nosteer","1"
"512","13_3_14","13","0.5","2.5","nosteer","1"
"513","13_3_15","13","2","2.5","nosteer","1"
"514","13_3_18","13","1","2.5","nosteer","1"
"515","13_3_23","13","0","2.5","nosteer","1"
"516","13_3_24","13","0.5","2.5","nosteer","1"
"517","13_3_3","13","0.5","2.5","nosteer","1"
"518","13_3_33","13","1","2.5","nosteer","1"
"519","13_3_34","13","0.5","2.5","nosteer","1"
"520","13_3_35","13","0.5","2.5","nosteer","1"
"521","13_3_38","13","0","2.5","nosteer","1"
"522","13_3_39","13","0.5","2.5","nosteer","1"
"523","13_3_40","13","1.5","2.5","nosteer","1"
"524","13_3_42","13","1","2.5","nosteer","1"
"525","13_3_48","13","0.5","2.5","nosteer","1"
"526","13_3_49","13","0.5","2.5","nosteer","1"
"527","13_3_51","13","0","2.5","nosteer","1"
"528","13_3_52","13","0","2.5","nosteer","1"
"529","13_3_53","13","0","2.5","nosteer","1"
"530","13_3_55","13","1","2.5","nosteer","1"
"531","13_3_56","13","0","2.5","nosteer","1"
"532","13_3_57","13","0","2.5","nosteer","1"
"533","13_3_59","13","1","2.5","nosteer","1"
